,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Cleveland Cavaliers,26.6,66,16,65,17,8.93,-0.25,8.68,112.4,102.4,88.7,0.312,0.259,0.56,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.226,Quicken Loans Arena,841000
2,Boston Celtics,27.8,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,90.4,0.328,0.214,0.571,0.528,15,27.9,0.251,0.47,14,75.6,0.253,TD Banknorth Garden,763584
3,Los Angeles Lakers,27.4,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,94.3,0.299,0.217,0.555,0.513,12.3,29.4,0.23,0.49,14.2,73,0.213,STAPLES Center,778877
4,Orlando Magic,27.3,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,92.3,0.351,0.335,0.559,0.52,13.4,24,0.251,0.465,12.3,75.9,0.209,Amway Arena,698768
5,Portland Trail Blazers,24,54,28,56,26,5.34,-0.35,5,113.9,107.8,86.6,0.306,0.239,0.553,0.511,12.5,32.6,0.234,0.499,13.2,75,0.227,Rose Garden Arena,841499
6,Houston Rockets,27.9,53,29,53,29,4,-0.27,3.73,108.4,104,90.2,0.292,0.254,0.548,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,Toyota Center,717669
7,San Antonio Spurs,30.4,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,88.4,0.251,0.248,0.548,0.513,11.7,22.1,0.191,0.487,11.7,78,0.191,AT&T Center,749048
8,Denver Nuggets,27.7,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,94.3,0.382,0.227,0.563,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.259,Pepsi Center,706165
9,Utah Jazz,25.5,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,93.1,0.355,0.169,0.554,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262,EnergySolutions Arena,816042
10,Atlanta Hawks,25.8,47,35,46,36,1.57,0.13,1.7,109.3,107.6,89.6,0.323,0.253,0.546,0.504,12.5,26,0.238,0.494,13.2,71.6,0.21,Philips Arena,686688
11,Dallas Mavericks,29,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,91.5,0.274,0.241,0.55,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723
12,Phoenix Suns,29.5,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,96,0.336,0.216,0.584,0.545,14.4,27.7,0.25,0.511,12.8,71.7,0.233,US Airways Center,755302
13,New Orleans Hornets,28.2,49,33,46,36,1.55,-0.14,1.41,108.7,107,87.8,0.288,0.24,0.548,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,New Orleans Arena,695727
14,Miami Heat,25.6,43,39,42,40,0.26,0.23,0.49,107.8,107.6,89.9,0.282,0.245,0.54,0.5,12.1,24.6,0.212,0.501,14.5,72.9,0.251,AmericanAirlines Arena,748778
15,Philadelphia 76ers,26.1,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90,0.339,0.164,0.532,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898
16,Chicago Bulls,24.9,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.541,0.493,13.3,28,0.239,0.493,13.1,70.9,0.238,United Center,868667
17,Detroit Pistons,28.2,39,43,40,42,-0.49,0.13,-0.36,107.4,108,86.7,0.282,0.165,0.524,0.483,11.7,27.9,0.212,0.485,11.7,74,0.248,The Palace of Auburn Hills,896971
18,Indiana Pacers,26.5,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,96.5,0.267,0.244,0.545,0.501,13.1,25.4,0.215,0.499,12.7,74.5,0.271,Conseco Fieldhouse,581472
19,Milwaukee Bucks,26.3,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.531,0.483,13.1,27.8,0.239,0.503,15.6,74,0.315,Bradley Center,630976
20,Charlotte Bobcats,25.8,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.536,0.494,15.1,27.7,0.231,0.498,14.4,73,0.229,Time Warner Cable Arena,597548
21,New Jersey Nets,25.7,34,48,34,48,-2.44,0.13,-2.31,108.3,111,89.9,0.303,0.265,0.543,0.497,12.7,25.2,0.236,0.509,13,73.5,0.272,Izod Center,621062
22,New York Knicks,25.7,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,96.7,0.268,0.322,0.544,0.503,12.9,24.4,0.21,0.52,13,72.7,0.215,Madison Square Garden (IV),790801
23,Toronto Raptors,27,33,49,33,49,-2.82,0.28,-2.54,107,110,92,0.279,0.193,0.542,0.494,12.8,24,0.23,0.511,12.6,73.7,0.202,Air Canada Centre,769707
24,Golden State Warriors,25,29,53,31,51,-3.74,-0.06,-3.8,109.5,113.3,98.2,0.339,0.209,0.549,0.497,12.9,26.1,0.268,0.508,12.9,68.1,0.251,Oracle Arena,776660
25,Minnesota Timberwolves,25.4,24,58,27,55,-4.91,0.18,-4.74,106.1,111.4,91.6,0.289,0.227,0.526,0.481,13.3,27.7,0.222,0.515,12,75,0.254,Target Center,595013
26,Memphis Grizzlies,23.3,24,58,26,56,-5.46,0.24,-5.23,103.5,109.5,90.1,0.329,0.175,0.533,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247,FedEx Forum,519895
27,Oklahoma City Thunder,24.5,23,59,24,58,-6.1,0.06,-6.04,102.9,109.4,93.6,0.308,0.141,0.521,0.471,14.8,28.6,0.242,0.514,13,73.9,0.216,Ford Center,766868
28,Washington Wizards,26.9,19,63,21,61,-7.46,0.48,-6.98,105.4,113.6,91,0.293,0.18,0.524,0.48,13.2,27.7,0.224,0.533,13.3,71.4,0.227,Verizon Center,681119
29,Los Angeles Clippers,26.6,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,92.1,0.275,0.226,0.52,0.481,14,25.1,0.202,0.512,12.4,71.2,0.227,STAPLES Center,663587
30,Sacramento Kings,26.3,17,65,19,63,-8.76,0.16,-8.6,105.5,114.7,94.2,0.315,0.238,0.542,0.491,14.3,24.5,0.252,0.526,13,69.9,0.269,ARCO Arena (II),520169
,League Average,26.8,,,41,41,0,0,0,108.3,108.3,91.7,0.306,0.224,0.544,0.5,13.3,26.7,0.236,0.5,13.3,73.3,0.236,,718309
