Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Boston Celtics,29.8,57,25,56,26,5.94,0.22,6.15,115.4,109.4,97.9,0.333,0.102,0.588,0.541,14.1,29.8,0.267,0.489,12.5,68.5,0.237,Boston Garden,611231
2,Detroit Pistons,27.4,54,28,54,28,5.17,0.29,5.46,110.5,105.3,98.3,0.372,0.029,0.548,0.497,14.2,34.2,0.282,0.475,14,68.5,0.245,Pontiac Silverdome,1066505
3,Los Angeles Lakers,28.9,62,20,56,26,5.84,-1.03,4.81,113.1,107.3,99.1,0.35,0.068,0.566,0.515,13.9,32.3,0.276,0.484,13,67.9,0.206,The Forum,708477
4,Atlanta Hawks,26.8,50,32,51,31,3.6,0.42,4.02,111.3,107.6,96.4,0.344,0.04,0.541,0.491,13,34.3,0.264,0.481,14.2,67.3,0.28,Omni Coliseum,572460
5,Chicago Bulls,25.5,50,32,50,32,3.4,0.35,3.76,109,105.5,95.5,0.317,0.035,0.539,0.494,13.6,34,0.24,0.478,13.5,70.6,0.24,Chicago Stadium,740411
6,Dallas Mavericks,27,53,29,52,30,4.37,-0.77,3.59,112.2,107.7,97,0.349,0.073,0.54,0.485,13.2,37.5,0.275,0.481,13,67.5,0.203,Reunion Arena,695592
7,Portland Trail Blazers,27.1,53,29,52,30,4.52,-0.94,3.59,111.8,107.4,103.6,0.362,0.051,0.55,0.499,13.5,34.3,0.279,0.485,14.5,68.4,0.275,Memorial Coliseum,519306
8,Denver Nuggets,28.7,54,28,51,31,4.07,-0.75,3.32,110.1,106.3,105.5,0.288,0.071,0.534,0.486,11.7,29.7,0.231,0.498,16,67.4,0.26,McNichols Sports Arena,520881
9,Utah Jazz,27.3,47,35,51,31,3.68,-0.73,2.96,106.8,103.1,101.5,0.339,0.057,0.546,0.5,15.4,30.4,0.254,0.459,14.9,66.7,0.262,Salt Palace,503969
10,Seattle SuperSonics,25.6,44,38,46,36,2.06,-0.77,1.29,110.2,108.1,100.2,0.328,0.086,0.536,0.491,13.9,36.3,0.245,0.495,15.9,67.2,0.33,Seattle Center Coliseum,475983
11,Cleveland Cavaliers,24.6,42,40,43,39,0.76,0.52,1.28,106.8,106,97.3,0.361,0.05,0.547,0.5,15.5,31,0.268,0.485,15.2,66.4,0.227,Coliseum at Richfield,504847
12,Milwaukee Bucks,28.6,42,40,42,40,0.54,0.68,1.21,108.2,107.6,97.6,0.334,0.058,0.536,0.485,13.6,31.8,0.259,0.483,14.2,66.6,0.259,MECCA Arena,441615
13,Houston Rockets,27.7,46,36,45,37,1.39,-0.57,0.82,107.1,105.7,101.8,0.338,0.04,0.529,0.476,13.9,33.1,0.263,0.473,14.2,66.7,0.243,The Summit,681051
14,New York Knicks,25.3,38,44,40,42,-0.49,0.63,0.14,105.9,106.4,99.1,0.319,0.078,0.525,0.477,15.5,36,0.242,0.486,17,65.5,0.324,Madison Square Garden (IV),586752
15,Washington Bullets,26.6,38,44,39,43,-0.77,0.61,-0.16,106.5,107.2,98.1,0.346,0.019,0.524,0.47,14.4,34.2,0.267,0.487,14.4,65.2,0.231,Capital Centre,433376
16,Indiana Pacers,25.7,38,44,39,43,-0.79,0.62,-0.18,106.6,107.4,98,0.277,0.068,0.535,0.492,14.1,30.1,0.216,0.481,13.5,67.9,0.263,Market Square Arena,502244
17,Philadelphia 76ers,27.2,36,46,37,45,-1.44,0.65,-0.79,108.8,110.3,96,0.403,0.069,0.543,0.485,15.2,35.4,0.308,0.506,13.8,67.5,0.232,The Spectrum,505245
18,Phoenix Suns,27.5,28,54,30,52,-4.48,-0.33,-4.8,107,111.4,101.2,0.301,0.049,0.538,0.494,14.6,31.5,0.23,0.507,13.4,68.3,0.265,Arizona Veterans Memorial Coliseum,452354
19,San Antonio Spurs,26.2,31,51,29,53,-4.88,-0.14,-5.02,108.2,112.8,104.4,0.319,0.055,0.54,0.499,14.1,32,0.234,0.512,14,64.4,0.242,HemisFair Arena,334354
20,Sacramento Kings,26.1,24,58,27,55,-5.76,-0.08,-5.84,106.5,112.1,100.9,0.317,0.061,0.53,0.481,14.8,33.7,0.245,0.506,12.3,68.1,0.237,ARCO Arena (I),423653
21,New Jersey Nets,26.7,19,63,21,61,-8.11,1.13,-6.98,101.4,109.6,98.6,0.337,0.066,0.523,0.478,16,30.4,0.245,0.506,15.2,68.6,0.274,Brendan Byrne Arena,476054
22,Golden State Warriors,25.4,20,62,21,61,-8.32,-0.06,-8.38,104.7,112.9,101.6,0.298,0.042,0.524,0.474,14.3,31.2,0.237,0.511,14.4,65.1,0.283,Oakland-Alameda County Coliseum Arena,440294
23,Los Angeles Clippers,26.2,17,65,16,66,-10.32,0.07,-10.24,97.4,107.6,100.8,0.32,0.044,0.494,0.449,15.7,30.9,0.229,0.486,14.8,65.4,0.244,Los Angeles Memorial Sports Arena,345589
,League Average,26.8,,,41,41,0,0,0,108,108,99.6,0.332,0.057,0.538,0.489,14.3,32.8,0.254,0.489,14.3,67.2,0.254,,545315
