Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Cleveland Cavaliers*,26.1,57,25,60,22,7.60,0.35,7.95,110.6,102.9,98.0,.353,.069,.559,.514,14.2,31.2,.264,.473,15.0,67.1,.185,Coliseum at Richfield,721426
2,Phoenix Suns*,25.7,55,27,59,23,7.70,-0.86,6.84,113.1,105.7,104.5,.344,.064,.560,.509,12.8,30.8,.272,.476,13.5,67.7,.225,Arizona Veterans Memorial Coliseum,447061
3,Los Angeles Lakers*,29.5,57,25,58,24,7.17,-0.79,6.38,113.8,106.7,100.1,.351,.093,.570,.518,14.0,33.0,.282,.482,13.0,68.9,.205,Great Western Forum,717349
4,Detroit Pistons*,28.6,63,19,56,26,5.80,0.44,6.24,110.8,104.7,95.5,.346,.058,.551,.502,14.4,34.5,.266,.458,13.2,69.2,.260,The Palace of Auburn Hills,879405
5,Atlanta Hawks*,28.5,52,30,54,28,4.91,0.35,5.26,112.2,107.2,98.3,.375,.055,.540,.480,13.5,37.1,.300,.482,15.4,64.7,.256,Omni Coliseum,644291
6,Milwaukee Bucks*,28.5,49,33,50,32,3.61,0.50,4.11,110.1,106.4,98.6,.332,.079,.544,.487,13.7,32.7,.273,.493,16.1,67.5,.266,Bradley Center,700984
7,Utah Jazz*,27.4,51,31,55,27,5.02,-1.01,4.01,106.6,101.5,98.0,.416,.058,.550,.491,16.4,32.0,.320,.447,13.9,68.1,.246,Salt Palace,509501
8,New York Knicks*,25.3,52,30,50,32,3.77,-0.15,3.62,111.1,107.5,104.4,.311,.151,.553,.512,15.4,36.2,.234,.504,16.7,65.1,.249,Madison Square Garden (IV),746851
9,Seattle SuperSonics*,26.3,47,35,48,34,2.90,-0.46,2.44,111.5,108.6,100.1,.318,.104,.539,.496,14.1,38.3,.237,.498,16.0,65.3,.271,Seattle Center Coliseum,456765
10,Chicago Bulls*,26.4,47,35,45,37,1.44,0.69,2.13,109.1,107.7,97.0,.302,.076,.553,.507,14.4,30.7,.238,.487,13.5,69.5,.239,Chicago Stadium,736962
11,Philadelphia 76ers*,27.0,46,36,45,37,1.50,0.18,1.68,113.0,111.5,98.5,.348,.090,.552,.500,12.8,32.2,.274,.513,13.4,67.2,.215,The Spectrum,531715
12,Boston Celtics*,28.5,42,40,44,38,1.16,0.10,1.26,110.8,109.6,98.1,.329,.043,.548,.498,14.0,34.7,.258,.493,12.7,70.0,.248,Boston Garden,611537
13,Portland Trail Blazers*,26.9,39,43,45,37,1.46,-0.55,0.92,109.4,108.0,103.9,.310,.083,.530,.488,13.9,36.7,.230,.501,15.7,67.4,.264,Memorial Coliseum,527008
14,Denver Nuggets*,29.8,44,38,45,37,1.70,-0.78,0.91,108.6,107.1,107.5,.284,.083,.528,.482,11.8,29.6,.224,.505,15.6,68.9,.264,McNichols Sports Arena,527337
15,Houston Rockets*,26.8,45,37,44,38,0.95,-0.73,0.22,105.7,104.8,101.8,.351,.073,.535,.486,15.9,33.3,.265,.481,14.9,69.0,.248,The Summit,680728
16,Golden State Warriors*,26.0,43,39,40,42,-0.30,-0.29,-0.59,107.4,107.7,107.3,.299,.079,.529,.480,14.2,33.4,.239,.479,14.6,64.1,.240,Oakland-Alameda County Coliseum Arena,587820
17,Washington Bullets,26.2,40,42,35,47,-2.16,0.39,-1.77,106.4,108.5,100.8,.305,.032,.516,.467,13.0,33.1,.236,.493,14.2,67.5,.267,Capital Centre,253980
18,Dallas Mavericks,28.5,38,44,38,44,-1.21,-0.59,-1.79,107.4,108.6,95.9,.327,.098,.536,.484,13.5,29.5,.258,.480,12.5,66.1,.215,Reunion Arena,695056
19,Indiana Pacers,25.2,28,54,30,52,-4.17,1.17,-3.00,106.8,111.0,99.2,.328,.089,.552,.502,16.3,31.5,.258,.478,12.4,66.0,.275,Market Square Arena,335298
20,Sacramento Kings,25.2,27,55,27,55,-5.55,0.20,-5.35,104.5,110.0,100.5,.286,.112,.523,.478,14.2,30.5,.220,.496,13.2,67.7,.235,ARCO Arena (II),677197
21,New Jersey Nets,26.8,26,56,25,57,-6.35,0.66,-5.69,103.0,109.3,100.1,.313,.079,.517,.474,15.0,32.7,.229,.508,14.4,70.1,.244,Brendan Byrne Arena,378397
22,San Antonio Spurs,25.6,21,61,23,59,-7.28,-0.17,-7.45,100.9,107.9,104.1,.319,.040,.512,.472,16.8,34.5,.223,.500,17.2,63.5,.294,HemisFair Arena,323573
23,Charlotte Hornets,27.2,20,62,21,61,-8.52,0.79,-7.74,103.7,112.1,100.3,.277,.058,.514,.470,13.7,30.3,.213,.508,14.7,64.9,.287,Charlotte Coliseum,949858
24,Los Angeles Clippers,24.6,21,61,18,64,-9.91,0.41,-9.50,100.8,110.2,104.4,.299,.032,.518,.478,16.5,31.2,.216,.497,14.1,64.0,.237,Los Angeles Memorial Sports Arena,286614
25,Miami Heat,25.2,15,67,15,67,-11.23,0.10,-11.13,97.8,109.0,99.1,.296,.042,.498,.459,17.7,35.6,.208,.499,16.0,65.0,.292,Miami Arena,612754
,League Average,26.9,,,41,41,0.00,0.00,0.00,107.8,107.8,100.6,.324,.074,.537,.489,14.5,33.0,.249,.489,14.5,67.0,.249,,581579
