Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Miami Heat,29,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,AmericanAirlines Arena,810930
2,Chicago Bulls,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,United Center,893462
3,Los Angeles Lakers,30.2,57,25,58,24,6.11,-0.1,6.01,111,104.3,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,STAPLES Center,778877
4,San Antonio Spurs,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,AT&T Center,750879
5,Orlando Magic,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102,91.2,0.328,0.328,0.554,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219,Amway Center,777852
6,Boston Celtics,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,TD Garden,763584
7,Denver Nuggets,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,Pepsi Center,696568
8,Dallas Mavericks,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13,74.8,0.206,American Airlines Center,824162
9,Oklahoma City Thunder,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,Chesapeake Energy Arena,744068
10,Memphis Grizzlies,25.2,46,36,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.534,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,FedEx Forum,600687
11,Houston Rockets,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,Toyota Center,663839
12,Portland Trail Blazers,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,87.9,0.278,0.228,0.533,0.486,12.6,29.5,0.224,0.51,15.4,72,0.231,Rose Garden Arena,840924
13,New Orleans Hornets,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.537,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,New Orleans Arena,603088
14,Philadelphia 76ers,24.7,41,41,45,37,1.5,-0.5,1.01,106.6,105,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,Wells Fargo Center,604823
15,New York Knicks,25.3,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,Madison Square Garden (IV),808879
16,Phoenix Suns,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,94.4,0.283,0.271,0.559,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,US Airways Center,720249
17,Milwaukee Bucks,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,89.8,0.287,0.216,0.511,0.467,13,24.7,0.217,0.481,14.7,74.8,0.236,Bradley Center,631912
18,Atlanta Hawks,27.4,44,38,39,43,-0.82,-0.28,-1.1,106.1,107,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,Philips Arena,641596
19,Indiana Pacers,25.9,37,45,38,44,-1.07,-0.3,-1.38,104.8,106,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,Conseco Fieldhouse,555077
20,Utah Jazz,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,91,0.313,0.191,0.544,0.498,13.5,27,0.241,0.505,13.8,71.7,0.275,EnergySolutions Arena,799982
21,Golden State Warriors,25.2,36,46,35,47,-2.33,0.33,-2,108.2,110.7,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398
22,Los Angeles Clippers,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,727462
23,Detroit Pistons,27.2,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,89.2,0.279,0.189,0.533,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,The Palace of Auburn Hills,683080
24,Charlotte Bobcats,26.9,34,48,29,53,-4,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.528,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,Time Warner Cable Arena,649694
25,Sacramento Kings,24.8,24,58,27,55,-5.34,0.54,-4.8,103.5,109,95.2,0.284,0.183,0.519,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,569496
26,Minnesota Timberwolves,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,Target Center,624960
27,New Jersey Nets,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,Prudential Center,581378
28,Toronto Raptors,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,0.522,13,72,0.251,Air Canada Centre,680255
29,Washington Wizards,24.9,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.513,0.471,13.9,28,0.216,0.512,14.4,70.5,0.249,Verizon Center,688466
30,Cleveland Cavaliers,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,93,0.312,0.224,0.518,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211,Quicken Loans Arena,824595
,League Average,26.7,,,41,41,0,0,0,107.3,107.3,92.1,0.3,0.222,0.541,0.498,13.4,26.4,0.229,0.498,13.4,73.6,0.229,,710241
